Data,Types,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39:00:00,2.071841375,0.580803938,3.300246103,0.115668581,0.076292043,1.047579984,0.015586546,0.452830189,0.283839212,2.18949959,5.032813782,7.054963084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40:00:00,2.929594218,0.017391304,0.2,1.27826087,16.08695652,0.234782609,0.026086957,0.052173913,0.008695652,0.947826087,17.84347826,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41:00:00,0.942572235,0.103360812,0.407736208,1.322764743,0.374128091,0.13950539,0.009511731,0.05389981,0.016487001,0.273303741,2.428027901,2.523779328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42:00:00,3.038930674,0.625,8.352272727,0.352272727,0.352272727,6.704545455,2.125,0.136363636,0.090909091,2.568181818,1.647727273,9.545454545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43:00:00,3.750330727,0,0.333333333,38.22222222,0.555555556,1.944444444,0,0,0,1.666666667,20.88888889,8.111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44:00:00,3.758332899,0.058558559,0.725225225,2.27027027,33.6981982,5,0.256756757,0.076576577,0.018018018,0.914414414,4.040540541,19.7027027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45:00:00,3.602446697,1.4,6.55,4.1,1.95,12.05,2.4,0.45,0.15,8.15,2.9,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46:00:00,3.513235432,0.35,2.85,18.55,5.25,0.6,0,0,0,6.25,29.85,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47:00:00,1.8860771,0.154126214,1.560679612,4.144417476,0.223300971,0.08131068,0.008495146,0.014563107,0.002427184,0.451456311,6.483009709,6.031553398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48:00:00,3.204493283,0.611764706,3.564705882,10.6,3.235294118,3.447058824,1.176470588,0.070588235,0.011764706,2.364705882,4.2,17.24705882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49:00:00,3.688942866,0,1.363636364,31.95454545,0.590909091,3.045454545,0.318181818,0.090909091,0,2.818181818,5.363636364,13.59090909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50:00:00,3.625452819,0.032110092,0.183486239,1.211009174,32.20183486,3.293577982,0.220183486,0.036697248,0.004587156,0.444954128,9.623853211,17.14220183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51:00:00,1.643785672,1.651098901,2.155677656,0.069139194,0.027472527,0.07967033,0.033882784,0.847069597,0.042582418,0.36492674,5.066391941,4.371794872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
